1,1757084295072710,122037
2,1757084295194748,1083182
3,1757084296277931,44776
4,1757084296322708,1068965
5,1757084297391673,42337
6,1757084297434010,42626
7,1757084297476636,42520
8,1757084297519157,42915
9,1757084297562072,42072
10,1757084297604144,43033
11,1757084297647178,42427
12,1757084297689606,42253
13,1757084297731859,41730
14,1757084297773589,42029
15,1757084297815619,41074
16,1757084297856693,42565
17,1757084297899258,42047
18,1757084297941305,41338
19,1757084297982643,41960
20,1757084298024603,43134
21,1757084298067737,1052360
22,1757084299120097,42844
23,1757084299162942,41705
24,1757084299204648,42176
25,1757084299246824,41922
26,1757084299288746,42179
27,1757084299330925,41749
28,1757084299372675,1058290
29,1757084300430966,42911
30,1757084300473878,41831
31,1757084300515709,41893
32,1757084300557603,40926
33,1757084300598530,42179
34,1757084300640709,40682
35,1757084300681391,41332
36,1757084300722723,41718
37,1757084300764441,42269
38,1757084300806711,41872
39,1757084300848584,41973
40,1757084300890557,42796
41,1757084300933353,41193
42,1757084300974547,41909
43,1757084301016457,41963
44,1757084301058421,41174
45,1757084301099595,42250
46,1757084301141846,41898
47,1757084301183744,41926
48,1757084301225670,41819
49,1757084301267490,41357
50,1757084301308847,41708
51,1757084301350555,42084
52,1757084301392640,45000
53,1757084301437641,42889
54,1757084301480530,42135
55,1757084301522665,41996
56,1757084301564662,42380
57,1757084301607043,41425
58,1757084301648468,42105
59,1757084301690573,42021
60,1757084301732595,41996
61,1757084301774592,41405
62,1757084301815997,43516
63,1757084301859514,42591
64,1757084301902106,44635
65,1757084301946741,43013
66,1757084301989755,42985
67,1757084302032740,42028
68,1757084302074769,42915
69,1757084302117684,42035
70,1757084302159719,42789
71,1757084302202509,42101
72,1757084302244611,41904
73,1757084302286516,42644
74,1757084302329161,43566
75,1757084302372727,43160
76,1757084302415888,44396
77,1757084302460285,42461
78,1757084302502747,41999
79,1757084302544747,42136
80,1757084302586883,43027
81,1757084302629911,41582
82,1757084302671493,45038
83,1757084302716531,42186
84,1757084302758717,42013
85,1757084302800730,42060
86,1757084302842791,42321
87,1757084302885112,43106
88,1757084302928218,42434
89,1757084302970652,43182
90,1757084303013834,41674
91,1757084303055509,41378
92,1757084303096887,41770
93,1757084303138658,42421
94,1757084303181079,42542
95,1757084303223621,42210
96,1757084303265831,41738
97,1757084303307569,42451
98,1757084303350021,43392
99,1757084303393413,46606
100,1757084303440021,42634
