id,timestamp,latency
0,1757452120144059,2133408
0,1757452122277467,42613
0,1757452122320080,42508
0,1757452122362588,42061
0,1757452122404649,42003
0,1757452122446652,43352
0,1757452122490004,42688
0,1757452122532692,41805
0,1757452122574498,41787
0,1757452122616286,43213
0,1757452122659499,42292
0,1757452122701791,42696
0,1757452122744487,41865
0,1757452122786352,42217
0,1757452122828569,41667
0,1757452122870236,42608
0,1757452122912845,42762
0,1757452122955608,42800
0,1757452122998408,42072
0,1757452123040480,42371
0,1757452123082852,41772
0,1757452123124625,41719
0,1757452123166344,41992
0,1757452123208336,42505
0,1757452123250841,245796
0,1757452123496638,41617
0,1757452123538256,41429
0,1757452123579685,41505
0,1757452123621190,41748
0,1757452123662938,41850
0,1757452123704788,41709
0,1757452123746497,42074
0,1757452123788571,42000
0,1757452123830571,42466
0,1757452123873037,41309
0,1757452123914346,42724
0,1757452123957070,42595
0,1757452123999665,42451
0,1757452124042117,42219
0,1757452124084336,42364
0,1757452124126700,42680
0,1757452124169380,42537
0,1757452124211918,41862
0,1757452124253780,41944
0,1757452124295724,42029
0,1757452124337754,42202
0,1757452124379956,41670
0,1757452124421626,42147
0,1757452124463774,41876
0,1757452124505650,41933
0,1757452124547584,41885
0,1757452124589469,42192
0,1757452124631661,41638
0,1757452124673299,42677
0,1757452124715976,41751
0,1757452124757727,42367
0,1757452124800094,42770
0,1757452124842865,41579
0,1757452124884444,41753
0,1757452124926197,42329
0,1757452124968526,40842
0,1757452125009368,41836
0,1757452125051204,41257
0,1757452125092461,42089
0,1757452125134551,1074256
0,1757452126208808,42092
0,1757452126250901,43358
0,1757452126294260,41903
0,1757452126336164,41484
0,1757452126377648,44233
0,1757452126421882,42197
0,1757452126464079,42995
0,1757452126507075,42040
0,1757452126549115,42318
0,1757452126591433,42297
0,1757452126633731,41891
0,1757452126675622,41826
0,1757452126717448,41783
0,1757452126759232,42162
0,1757452126801395,41711
0,1757452126843106,41514
0,1757452126884620,47469
0,1757452126932089,48504
0,1757452126980594,43168
0,1757452127023762,41998
0,1757452127065760,41898
0,1757452127107658,41869
0,1757452127149527,42280
0,1757452127191807,42548
0,1757452127234355,1059015
0,1757452128293370,41983
0,1757452128335354,42012
0,1757452128377367,42065
0,1757452128419433,41806
0,1757452128461240,42277
0,1757452128503518,42773
0,1757452128546292,42097
0,1757452128588389,41920
0,1757452128630310,42215
0,1757452128672525,42723
1,1757452120143975,2133473
1,1757452122277449,42859
1,1757452122320309,42205
1,1757452122362515,41942
1,1757452122404458,42188
1,1757452122446646,42242
1,1757452122488888,41905
1,1757452122530794,41603
1,1757452122572397,43689
1,1757452122616086,42654
1,1757452122658741,42817
1,1757452122701559,42965
1,1757452122744524,42032
